portugues,tupi_antigo
Para a coutada do rei ele foi para cortar madeira,Morubixaba ybyragûype ahẽ sóû ybyrá 'apa
Traze os habitantes do Paraíba para aumentar nossa terra,Eru Paraibygûara oré retama irumõmo
Não temos a ver com isso,Nd'oroîkóî aîpó resé
Estou a ponto de ir Vou daqui a pouquinho,A'ar apyrĩ - Estou prestes a cair Our apyrĩ - Está já para vir Asó apyri'ĩ
Envergonho-me de minha feiúra,Anotĩ xe aíba
Pagaste aquilo que tu usaste?,Eresepyme'engype nde remiporupûera?
Mas não iríamos para o céu se ele não morresse?,Nd'îasóî xûé-tepemo ybakype se'õe'ỹmemo?
Preferiam outrora as pessoas que as matassem?,Oîpotarĩ-p'amẽ abá erimba'e o îuká?
Desejando ardentemente ver tua face,Nde robá repîaka'upa
o cauim que é preparado para meu recebimento,kaûĩ xe renotara
Sangro-o,Asugûymombuk
Eu fedo,Xe ryapûanusu
Vem para amedrontá-lo,Eîori i mosykyîébo
Sobram-te galinhas e porcos,"Nde resemõ arinhama, taîasu"
"Escaparão futuramente os animais, os pássaros?","Okûabépe irã so'o, gûyrá?"
"Desesperar-se-ão muito, certamente, os que são maus",I anhamãngatu nipó i angaîpaba'e-ne
"A vida de minha alma, que eu perdi, fará devolver a mim",Xe 'anga rekobepûera xe remimokanhẽûera oîmoîebyrukar ixébone
Casando-se com alguém que não seja ele,I xuí amõ resé omendá
Ajuntamo-nos,Oronhemondysyk
"Tu, em teus braços, Jesus ergueste para alimentá-lo um pouco em teu seio","Endé, nde îybápe, Îesu eresupi i poîa-mirĩ nde kama pupé"
"Dançaram a noite toda, fazendo feitiçarias","Oporaseî pysaré, oîemopaîeangaípa"
De madrugada levanto-me,Îeîbé apu'am
Indo eu para trabalhar,Ûiporabykŷabo gûixóbo
Entregando-me à morte tu me beijas o rosto,Te'õ supé xe me'enga xe robá-pyter îepé
remédio portador de cura,mosanga mûeîrab-yîara
Ficaste suspeitando de teu próximo em teu interior?,Ereîmondá-mondápe nde rapixara nde py'ape?
Não me acostumei,N'aîepokuabi
"Logo então, em um momento, leva-o para sempre para o fogo",A'eîbé korite'ĩ-aíb-eté serasóû aûîeramanhẽ tatápe
"É penoso, de fato, remar canoa",Sasy nakó ygá-pukuîa
"Ao passar a quarta-feira das cinzas sagradas, começa o grande jejum chamado Quaresma","Quarta-feira-tanimbu-karaíba rasápe îekuakupabusu, Quaresma 'îaba nheypyrungi"
Para o vosso encontro da virtude verdadeira,Tekokatueté pé pe gûasemagûama resé
As criancinhas também têm somente o pecado de nosso pai primeiro,Pitangĩ abé îandé rubypy angaîpaba nhõ ogûerekó
folha tenra,só-kyra
"Eu também os meus parentes trazendo, faço-os dançar comigo",Xe abé xe anametá aroporaseî seru
Meu rosto é envelhecido,Xe robá tuîba'e
o que é (ou deve ser) malquisto,i amotare'ymymbyra
Dizendo palavras más acerca de coisas nojentas,Mba'e-poxy koty onhe'engaíbamo
cacos de pedra,itá-pesembûera
Afastará os que são maus dos que são bons?,Oîpe'ape i angaîpaba'e i angaturamba'e suíne?
De ti a morte não se aproximou,Nde resé te'õ n'osyki
Fi-lo emergir comigo,Arobur
"fogo do cauim, isto é, com que se coze o cauim",kaûĩ ratá
Faço muito barulho ao andar,Xe py-ambugûasu
"Eia, agora, contai, pois, os impedimentos dele",Pe'ĩ ko'yr sarûaba mombegûabo rõ
Não queiras que te lance no inferno para se vingar de ti,Eîpotar umẽ nde resé o îepykápe anhanga ratápe nde reîtyka
Muito bem! Hei de ser castelhano,Aûîé nipó! Kasianamo t'aîkó
Eis que eu tenho sede,Xe 'useî ã
outras aldeias frequentando,amõ taba rapekóbo
Ainda é muito cedo para isso,Nd'e'i-angáî
Na minha aûsência é que ele disse isso,Xe kupépe é ahẽ aîpó i 'éû
"Desvirginaste alguma menina, furando-a?","Ereîmombukype kunhataĩ amõ, i mokûá?"
"Eu não queria vir (mas vim), irando os homens brancos","Xe n'aîu-potari biã, karaíba moabaîtébo"
Celebrando a missa para a gente,Missa ra'anga asébe
Sou leviano,Abebuînhẽ
"Ah, se eu tivesse percebido outrora isso, praticando o que dizíeis!","Anhandu beémo erimba'e angûama mã, pe 'erama purûabo!"
Por que não te escondes?,Marãpe nd'erenhemimi?
Assim procede para disfarçar a existência de seus filhotes,O a'yra kuakupa emonã sekóû
Não por me amar,Na xe raûsupeî
Eu fiz confusão,Xe apatynã
"Eu, em vez disso, quero presas nas pessoas de alguns bêbados","Xe-te, xe rembiá-potá sabeypora amõ resé"
O oposto da avareza é a liberalidade,Tekate'yma robaîara tekate'yme'yma
Dói a separação de nossa alma de nosso corpo,Sasy asé 'anga asé reté suí i îa'oka
Orando eu para Deus,Tupã supé ûiîerurébo
"É famosa Guaraparim, tendo uma igreja","Serapûan Gûaraparĩ, Tupãoka rerokupa"
Já todos os tamoios foram,Opá umã tamũîa sóû
Como viajantes é que nós estamos nesta terra,Ataramo é asé rekóû ikó yby pupé
Fazendo-o transformar-se em seu próprio sangue,Og ugûyramo i monhemonhanga
Aquele padre que te batiza dá uma vela na tua mão,A'e abaré nde mongaraipara iraîtytataendy me'engi nde pópe
Assim deve de ser,Emonã ruãpe rĩ
Que afastemos o diabo agora e para sempre,Anhanga t'îaîpe'a ko'yr aûîeramanhẽ
"E os que bebem cauim, como ficam? Não transgridem a palavra de Deus?",Kagûarape marã? Nd'oîabyîpe Tupã nhe'enga?
Mostrai bem o que é essa Santíssima Trindade,Peîmoîekuakatu aîpó Santíssima Trindade rekó
se for assim,emonãneme
Três de seus discípulos,Mosapyr o boîá
eis que amanheceu,ko'ẽ kó
Que venha para nos fazer felizes,T'oú oré moorypa
Que tipo de mulher é Santa Maria?,Marãba'e kunhãpe Santa Maria?
"Ficou saltando, reconhecendo imediatamente Jesus, seu senhorzinho","Opor-oporĩ, Îesu o îarĩ kuapa aûnhenhẽ"
Vem para ver tua futura terra,Eîori nde retamûama repîaka
É certo isso! (aceitando como opinião própria),Aûîé a'e!
Que se lembre bem de que Deus branqueou sua alma,T'onhemoma'enduá-katu Tupã o 'anga momorotingûera resé
"Que nada! Vou vencê-los, como sempre",Erĩ! Aîmoaûîé îandune
Embrulhei-o,Aîapugûar
Tendo-os no pescoço,O aîuri serekóbo
Ele é muito bom,I katu-pyryb
Isso é o que é destinado a mim,Xe resendûara ebokûea
Não vens para me vingar?,Nd'ereîuri xe repyka?
Não nos batizam também outras pessoas junto do padre?,N'asé reroki bépe amõ abá abaré pyri?
Por isso mesmo o ladrão é o que deve ser enforcado como pena de seus roubos passados,Nd'e'i te'e abá mondá iî aîubykypyramo oîkóbo o mondarõagûera repyramo nhẽ
Que disse a mulher que guardava a porta a São Pedro?,Marã e'ipe kunhã okena rerekoara S Pedro supé?
além do rio,y robaî
"ambas estas mãos, o número dez",opá kó mbó
Pesquei peixes,Asekyî pirá
var de farinha de mandioca,u'i-puku
Como recompensa de seu afastamento da vida má,Tekó-angaîpaba suí o îepe'aagûera repyramo
"instrumento de aquentar o fogo, abano, abanador",tatá pegûaba
"Alternaste alguns dias de guarda, não entrando na igreja?","Ereîmopa'ũpe 'areté amõ, Tupãokype eîkee'yma?"
Caçôo dele,Aîoîaî
Coze algum cauim,Emoîyb kaûĩ amõ
Eu estou tingido de jenipapo,Xe îanypagûer
"Sim, hei de ir para onde me mandam Mesmo porque eu, em meu coração, assim quero fazer","Îé t'asóne xe mondoápe Memeté ixé, xe py'ape, emonã tekó potá"
barrancos,yby'ã-by'ama
"Arrependeu-se, depois disso, de ter comido aquele fruto?",Oîmoasype a'e riré a'e 'ybá 'uagûera?
após vertê-la dentro de alguma casca de coco,inaîagûasu apepûera amõ pupé i nhang'iré
Fiquei em pranto,Aîase'o-rekó
Crês que o pajé ruim é o que tem o dom dos prodígios?,Ererobîápe paîé-aíba mosangyîaramo sekó?
"Ah, como me importuna o fedor dele!",Xe moaîu-te i nema mã!
"o que é morto, o que deve ser morto, o morto",i îukapyra
"Vem, coisa fedorenta, coisa nojenta, tamarutaca!","Eîori, mba'enem, mba'e-poxy, tamarutaka!"
"Hei de comer hoje seus braços (fora do corpo, isto é, o que foram seus braços)",T'a'u kori i îybapûera
E preocupai-vos hoje em dia com as futuras penas de vosso agir assim?,A'epe emonã pe rekopûera repyrama resé koyr-y bé penhemosako'i
"Argumentei contra suas palavras, com efeito",Aînhe'engapypyk îepé
"Guardai-vos de querer ser como eu, mas, antes, se eu estivesse como vós, todas as coisas dolorosas sofreria neste mundo para aplacar a Deus","Peteumẽ xe îabé peîkó-potá, xe monẽ pe îabé gûitekóbomo opá mba'easy aîporará ikó 'ara pupé Tupã monhyrõmomo!"
Fazendo levar imediatamente para o céu os que resgataram bem seus pecados ainda neste mundo,Ikó 'ara pupé bé o angaîpagûera repyme'ẽngatusarûera ybakype aûnhenhẽ serasó-uká
Hei de obedecer muito a ele doravante,Asapîá-katupe angiré ká
Morro de morte natural,Te'õ suí amanõ
ao vir a lua para visitá-la,o supa îasy rureme
Quando o proferiu?,Erimba'epe sa'angi?
Ficaste suspeitando sem motivo de tua esposa por causa de alguém?,Ereîmondá-mondá tenhẽpe nde remirekó abá resé?
Havemos de ir,T'asóne - Hei de ir T'orosóne
bago de tacape,ygapẽ-nambi
fedor de boca,îurunema
Por que a gente se persignará muitas e muitas vezes?,Marãnamope asé îobasabetá-etáûne?
"Quer ter relações sexuais com ela, como de costume",Oîkó-potá sesé îandu
Nosso criador fazes estar contigo em teus braços,Îandé monhangara nhẽ erenoĩ nde îybápe
Deixaste de ouvir a missa?,Ereîmopanemype missa renduba?
o que é de dia,arybondûara
Junto água,Atykûar
Olhaste também com desejo para a vagina de alguma?,Erema'ẽ-nhemomotarype amõ rapopé reséno?
Faze transformar os moradores do rio,Eîmonhangukar 'ygûara
É muito belo o teu nome,I porãngatu nde rera
Amando muito sua santificação,O karaibagûama raûsukatûabo
Eis que sobre o capim ele está deitado,Kapi'i sosé kó tuî
"o que paga, o que resgata",osepyme'engyba'e
"Minha nação, outrora, estava de acordo com a cultura primeira","Xe anama, erimba'e, tekó-ypyramo sekóû"
Eu tenho os buracos da orelhas tapados,Xe apysakûá-îe'o
Contaste a maldade de alguém?,Ereîmombe'upe abá rekopoxŷagûera?
a palavra de Deus,Tupana nhe'enga
Pus entradas nele,Aî'atybakã-moín
Deixei de amá-lo,Asaûsupo'ir
Hei de ir tocar tuas pálpebras,T'asóne nde ropé syka
Não querendo conversar com ele,I mongetá-potare'yma
"Atacamo-los, prendemo-los, antes que se consolem","Îasepenhan, îaîpysyk, i apysyk' e'ymebé"
ossada (de animal),mba'e-kangûera
"És parecido com um chamusco, ó coisa fedorenta!","Nde rapixara pixé, mba'enem-y îu!"
"doença superficial, indisposição, doença fraca",mba'easy-aíba
O desejo de sumir para longe enche seus corações,Mamõ nhẽ kanhẽ-motara i py'a îaîporaká
"Conhece bem as guerras, ficando a esperar escondido as pessoas","Oîkuá-katu marana, morapearõ-arõmo"
Semelhante a gotas de sangue,Tugûy tykyrûera abŷare'yma
Santa Maria está pensando na aproximação de seu parto,Santa Maria o membyrá-kakara omo'ã-mo'ang
Depressa haja minha comida!,Keremẽ xe remi'u rekoaba!
"Dentro dela gerando-se, Deus fez-se pequeno","I pupé onhemonhanga, onhemomirĩ Tupã"
"""o chupa-fogo"" (nome próprio)",tatá-pytera
Estou saltando de alegria,Toryba suí apó-por gûitekóbo
"Em que direção eram, pois, meus atos passados?",Marangoty-pakó xe rekopûera é?
Durmo com roupa,Aroker aoba
Ele conosco caminharia,A'emo îandé resé i atarimo
cutelo de ferro,itá-kysegûasu
"Ah, quem me dera eu fosse para o céu!",Asó temõ ybakype mã!
algumas e poucas vezes,amõme nhõ
"Aqueles serão os futuros habitantes do fundo do nosso fogo, os que serão queimados","Aîpó îandé ratá gûyra porama, sapypyrama"
"Fá-los-ei correr comigo, fá-los-ei voar comigo","Anonhan, arobebéne"
Ordenei-o,Aîmoabaré
"Ainda bem que, ainda outrora, repeli meus pecados",Aûîetéramo erimba'e bé xe angaîpagûera aîpe'a re'a
Já se juntaram por causa disso as velhas e os velhos,Onheŷnhang umã sesé gûaîbĩ tuîba'e abé
À direita de Jesus somente tu estás,Îesu 'ekatûápe nde nhõ ereimbé
"Na verdade hei de me enfeitar, pintando-me de preto",Aûîeté-pakó aîegûak ûinhemoúna
"Na verdade, ver-me-eis futuramente estar sentado ao lado direito de Deus-Pai",Anheté pesepîak irã Tupã Tuba 'ekatuaba koty xe gûapyka xe renane
Acima de todas as pessoas embelezou-a,Abá sosé pabẽ i momorangi
A cada dez dar um como quinhão de Deus,Opá kó mbó îabi'õ moîepé me'enga Tupã potabamo
Mandando-os fazer afastar-se logo de suas maldades,I angaîpaba suí i moîepe'aesapy'a-uká
três ou quatro anos após os enterrarem,mosapyr koîpó oîoirundyk seîxu ybŷá o tym'iré
Com sabão esfreguei-o,Itayîuîa pupé aîkytyk
"o que está preso em ferros, o que está peado",i pukusamba'e
Mandou trucidar as crianças habitantes da aldeia de Belém e também as habitantes das vizinhanças dela,Taba Belém pora pitanga i amundaba pora abé apiti-ukari
Estou-me agachando (parado),Anhemombeb gûitena
"Que é, porventura, daquele?",Umã-pakó? Umã-takó? ou Umã-pakó akûea?
Toma mais outro,Eîar-y bé amõ
"Amarraram-no com corda, fazendo-o estar em pé",Oîxamysyk sero'ama
o que é o único filho dele,ta'yra oîepeba'e
estopa torcida,yby-pomombykypyra
O que come terra ou outra coisa,Yby koîpó mba'e amõ gûara
E com essa tua mentira tornaste alguém famoso?,A'epe ebokûé nde îuraragûaîa pupé eremoerapûã abá amõ?
Para julgar todos os que vivem e os que morreram,"Oîkobeba'e, omanõba'epûera pabẽ rekomonhanga"
cria dos campos (animal ou planta),nhũygûana
Onde está meu caminho?,Umãpe xe raperama?
"Roga a Deus por nós, os que somos pecadores",Etupãmongetá oré i angaîpaba'e resé
Qual outro é conhecedor senão ele?,Ma'e-kugûapara aé-amẽ ahẽ?
Eu tenho penduricalhos,Xe renembaî
Eu tenho cálculos renais,Xe typa'am
"Por isso mesmo Deus te repeliu, desde então o fogo para sempre queimando-te","Nd'e'i te'e Tupã nde pe'abo, a'epûerype tatá aûîerama nde rapŷabo"
Creio na vida que não acabará,Arobîar tekobé opaba'erame'yma
"Ainda que me castigasse, eu falaria",Aûîebé-temo xe nupãû anhe'engĩmo
Cortei seus nervos,Aîpytasã-mondok
Estou-me sentando,Agûapyk gûitena
Cortei um pedaço dela,Aîasy-'ab
Que não esteja pelas casas para afrouxar nossas almas,T'oîkó umẽ oka rupi oré 'anga monguébo
Vamos para quebrar as cabeças dos reis,Îasó tubixaba akanga kábo
Defeco,Apoti
"o que é azul, o que é verde, o que é roxo",sobyba'e
Ó Pero!,Pero gûe'y!
Eu tenho palavras de rufião,Xe nhe'engarũaíb
nesta semana,kó somana pupé
terceiro,momosapysara
"Assim também fizeram com seus pés, pregando-os com cravos?","A'e îá bépe gûá i py rerekóû, itapygûá pupé i moîáno?"
"Sequei muito, sequei duramente",Atining-atã
Eis que enfim já chega!,Aûîé ã ko'yté!
Amo Pedro por amar a seu pai,Asaûsub Pedro og uba raûsume
"Importuna-me bem, irritando-me muitíssimo, aquela lei nova","Xe moaîu-marangatu, xe moŷrõetekatûabo, aîpó tekó-pysasu"
"A lã em roupa transformamos (isto é, da lã fazemos roupa)",So'o ragûera aobamo îaîmonhang
Guardando-nos,Îandé rarõmo
"como isto, como este",koba'e îá
Digo que não,Aan a'é ipó ixé re'a
Não corrigindo seu filho quando ele estiver no mal,O a'yra marãbirĩ sekóreme senonhene'yma
uns atrás dos outros,o îoakypûé-kypûeri
Mas esconde-me tu dele!,Xe mĩ-te îepé i xuí!
Senhora da vida,Tekobé îara
"Eia, vai!",-Ene'ĩ esóbo!
"A cobra, antes de fazer destruir a vida daquele que morde, deixa sua própria vida, ao pisarem sua cabeça","Mboîa o emindu'u rekobé mokanhemukar-y îanondé, o ekobé reîari o akanga patukasagûerype"
Será muito terrível futuramente para os que são maus?,I abaeté-katupe irã i angaîpaba'e supé?
"Sofreu, suportando o fogo, tendo alegria após sua morte","Sosang, tatá porarábo, o manõ riré toryba rerekóbo"
Pratiquei todos os jejuns,Aîá pá îekuakuba
Não havia nada antes de Deus fazer o mundo?,Nd'oîkóîpe mba'e amõ Tupã 'ara monhang'e'ymebé?
Mas livra-nos do mal!,Oré pysyrõ-te mba'eaíba suí
"Fazemos oferendas às sepulturas, pondo algumas coisas (nelas)",Îatyby-poî ma'e amõ nonga
Eu sou de pequeno tamanho,Xe ra'yrĩ-a'ub
É por isso que o batizais junto ao padre,Aîporama resé é peîmongaraíb abaré pyri
"Mas tu brilhas mais que ele, iluminando-nos todos com tua virtude","Nde-te ereberá i xosé, oré resapébo pá nde rekokatu pupé"
Vamos ao seu caminho,T'îasó sapépe
Fiquei-o apodando,Aseró-serok
Vou como alcoviteiro,Asó manhanamo
Eu sou mandão,Xe poropûaîxûer
"Por causa de minha imensa formosura, Deus revelar-se-á a mim","Xe aysó-matueté resé é, Tupã îepîakukari xebene"
"Enfim, os moços escondem seus muito maus procedimentos",Aûîé kunumĩgûasu o ekó-aíbeté oîomim
Já fica ansiosa por vê-lo,Omoanhẽ ymã sepîakûama
Lançaste algum menino sobre ti por desejo sensual?,Ereîtykype kunumĩ amõ nde 'arybo moropotara suí?
Agitamo-nos,Orondururuk
"Na igreja, publicamente, diante de duas pessoas","-Umãmepe i poromomendari? -Tupãokype, ikatupe nhẽ, mokõî abá robaké -Onde ele casa as pessoas?"
Conforta-me tu,Xe moapysyk îepé
"Ah, bom tempo aquele em que lá fui!",Kûesenhe'ymĩkaé xe sóû a'epe mã!
"Entram grandes espinhos, espetando sua cabeça","Oîké îugûasu, i akanga kutuka"
Que me guarde sempre,Ta xe rarõ memẽ îepi
"Amo Pedro, assim como a seu filho",Asaûsub Pedro ta'yra resebé
"Deus deu, então, determinações para nosso pai primeiro?",Osekomonhangype a'ereme Tupã îandé rubypy?
"Envergonha-se o sol, nascendo, diante de teu brilho",Otĩ kûarasy osema nde beraba robaké
Eu tenho pintas,Xe pinim
Então já estava São João Batista no ventre de sua mãe,A'ereme oín uman São João Batista o sy rygépe
"Ao chegar o dia oitavo (duas vezes quatro), cortaram seu prepúcio","Mokõî oîoirundyk oito 'ara sykeme, i 'apira mondoki"
a que é (ou deve ser) alforriada,i mokunhãmbyra
Invocando o Anhanga ou a morte ou o Jurupari,Anhanga koîpó te'õ koîpó Îurupari rekyîa
Ponde uma cruz diante deste doente como objeto da visão de seus olhos,Peîmoín amõ cruz oîepé kó mara'abora robaké sesá ma'ẽndabamo
"Na verdade, três vezes negarás ser meu discípulo antes de o galo cantar duas vezes",Mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî' e'ymebéne
"A dança é que é boa, enfeitar-se, tingir-se as pernas com urucu","Moraseîa é i katu, îegûaka, îetymã-gûanga"
homem sovina,abá-pûapẽîara
Por que o coloca nos nossos pés?,Mba'erama resépe i nongi asé pype?
cocho de porcos,taîasu remi'uru
Traze peixe para que o coma,Eru pirá t'a'une
Faze-me tu valente,Xe mopyatã îepé
Todos eles voltaram-se para trás,Opá i îeakypûereroîebyri
"Mas não foste tu, porventura, que te atraíste pelas mulheres?",Na nde ruã-te-pakó kunhã ri ereîemomotá?
"Muito bem, eis que aqui estou, trazendo para ti estes siris","Auîebeté kó aîkó, ndébo ko siri reru"
"Vituperaste pelas costas a teu pai, a teu mestre?","Ereîkupeanga'ope nde ruba, nde mbo'esara?"
Eu tenho secura na garganta,Xe aseó-tining
Não obedecerá a ela,N'osapîari
Palavras de quem são essas?,Abá nhe'engûerape aîpó?
o que apanha o que ele matou,semiîukapûera rasara
companheiro de São Sebastião,São Sebastião irũ
Descreve tua terra para mim,Emombe'u nde retama ixébe
Ele o faz em muito tempo,E'i ymuanĩ ahẽ i monhanga
"""sob o sono"" da alta noite, nas horas mortas da noite, em que todos dormem",pysaîekatu ké-gûyrybo
"Como os soldados que o agarravam trataram-no, então?",Marãpe gûarinĩetá i pysykara serekóû a'ereme?
"Passaste a mão nas tuas pudendas, abrindo-as?","Erepokokype nde rapopé resé, i pekábo?"
prender escravos,tapuîa rara
Adoeci com ele,Aromara'ar
Vai para fazer cair os malditos em nosso laço!,Ekûãî moxy mbo'a îandé îusana pupé!
"Eia, advogada nossa!","Ene'ĩ, oré îeruresar!"
Diante de ti sentando-me eu,Nde robaké ûigûapyka
Desceu aonde nós estamos,Ogûeîy îandé rekoápe
"Não, não os derrotarás","Aan, nd'ereîtyki xóne"
Dirigi-a,Asebikok
"Dessa maneira, vens para afastar nossa escuridão","Emonãnamo, ereîu oré putuna pe'abo"
Eu sou risonho,Xe pukasûer
Não poderás doravante juntar-te a tua esposa,Nd'erekatuî xûé angiré nde remirekó rerobyka-ne
Dizendo isso por pequenas coisas,Mba'e-mirĩ resé aîpó o'îabo
tua excitação pelas coisas más,Mba'e-poxy resé nde ara'a
Eu sou mau de costume,Xe memûã îá
Eu sou manchado,Xe apŷab
"Antigamente estava aflito, praticando meus vícios","Akûeîme aîkotebẽ, xe rekopoxy purûabo"
Eu tenho um buraco grande,Xe kûarusu
seu criador de verdade,o moîangara tekatu
Eu tenho o rosto muito curubento,Xe robá-kuru-kurub
"Como modo de honrar sua vinda, comemoramos este dia",Turagûera moetesabamo kó 'ara îamoeté
Do céu vieste,Ybaka suí ereîur
Eu estou amargo,Xe 'ak
Replico a Pero,Aînhe'ẽpoepyk Pero
Tive a segunda menstruação,Aîeporero'ypok
o que tem ponta em forma de nádegas,seîkûaratĩba'e
"ele (es, a, as) mesmo (os, a, as)",Ixé aé - Eu mesmo A'e aé
Tu mesmo assim procedeste,Nde aé ipó emonã ereîkó
Pagou outrora por seu proceder assim?,Osepyme'engype erimba'e emonã o ekoagûera?
Está pronto o guaitacá?,Sekoaûîépe gûaîtaká?
bico de pássaro fora do corpo,tĩmbûera
Não perdoa,N'i nhyrõî
Estou-me agachando (em movimento),Anhemombé-mombeb gûitekóbo
Adiantei-me,Akûabĩ
Enxuguei-o,Aîmoaku'i
Como a gente procede para o cumprimento da vontade de Deus?,Marãpe asé rekóû Tupã remimotara moporagûama resé
Para afugentar o diabo,Anhanga monhegûasemagûama resé
"Muito feliz está o homem, certamente, após alcançar alguma verdade",Sorybeté rakó abá mba'eeté amõ resé o îekosub'iré
Esta aldeia transtorno sempre,Kó taba aîpobu memẽ
Quanto mais eu haveria de ir,Memetémo n'ixé ûixóbo
Tu te comprazes quando um homem apalpa teus seios?,Nde rorype nde kama abá sungáreme?
Irrito-me habitualmente,Xe îemoŷrõndûer îá
sujeira do menino,kunumĩ a'uba
"Excitaste-o, esfregando-te no teu companheiro?",Ereîkapyrokype nde rapixarĩ resé eîekytyka?
"A poeira dos pés arranca de minha casa, tua pousada sempre","Eîpytybyrok xe roka, nde pytasaba îepi"
Jesus salvador da gente,Iesu moropysyrõana
As pedras ficaram-se quebrando pelo meio,Itá oîeká-îeká oîopyterybo
Mudo-me (para longe),Aîeakasó
homem intolerante,abá-poromborybe'yma
Havemos de nos ajudar um ao outro para criarmos nossos filhos,T'oroîopytybõne oré poromonhangagûera mongakuapa
Minha pele tem titinga,Xe tĩ-titing - Meu nariz tem titinga Xe py-titing - Meus pés têm titinga Xe pi-titing
grão de farinha,U'i-esakytã
Atraíste alguma mulher para junto de teu próximo?,Ereîmonharõpe kunhã amõ nde rapixara pyri?
"E por outra parte, semelhantemente, o próprio mar será mais terrível do que é seu costume",Kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé
"Eia, afasta-me depressa!",Ne'ĩ taûîé xe reîyîa!
Que fez neste mundo depois que cresceu?,Marãpe sekóû ikó 'ara pupé o kakuab'iré?
o que está doente,i mara'aryba'e
Imitaste os homens maus?,Eresa'angype abá-memûã?
"Honro tua casa, dentro dela dançando","Aîmomba'eté nde roka, i pupé gûiporaseîa"
"Apressam-me estes meus súditos, tendo saudades de mim hoje","Xe moanhẽ kó xe boîá, îeí xe repîaka'upa"
Denunciar-me-iam ao meu imperador,Xe kuaukámo xe rubixaba supémo
"Tu foste gabola, lembrando-te de coisas más?",-Nde nhe'engapaparaípe mba'epoxy resé nde ma'enduaramo?
Eu tenho o sangue escorrido,Xe rugûy-syryk
Que é isso? (respondendo ao que chamou),Mba'ep'ipó?
Eis aqui também a ingapema pintada,Kó bé ingapé-kûatiara
Conhece o modo pelo qual o padre te tratou ao te batizar,Eîkuab abaré nde mongaraipápe nde rerekoagûera
"pedaço de roupa, retalho de pano",aopesembûera
o que é (ou deve ser) louvado,i mombe'uporangymbyra
"Eu sou Guaixará bebedor de cauim, comedor de gente","Gûaîxará kagûara ixé, morûara"
Todas as pessoas vão fazendo as ladainhas,Opakatu abá sóû ladainhas monhanga
"Faze-me tu valente, para que eu me oponha ao maldito, para sempre vencendo-o","Xe mopyatã îepé, t'apu'am muru resé, aûîérama i moaûîébo"
"""Ah, coitadinho de mim"" é o que é ouvido aí","""Xe poreaûsubeté'ĩ mã!"" sendubypyramo a'epe"
meu soltar de grunhidos,xe kororõ-pysyrõ
Com eles os animais e os pássaros ajuntarei para destruí-los,Sesé so'o gûyrá aîmoîese'a i mokanhemane
Num dia semelhante a este,Kó 'ara nungara pupé
pelo caminho,pé rupi
pelo meio de (sentido difuso),pyterybo
"Desde a Galiléia, sua origem","Galilea suí katu, i ypyrunga"
Muito a propósito comportei-me como filho de Deus,A'eboé Tupã ra'yramo anhemoingó re'a
Não durei,Nd'aîkopukuî
"Após matarem a São Lourenço, que queimem em teu fogo","São Lourenço îuká ré, t'okaî nde ratá pupé"
"E os rapazes que perseguem mulheres, querendo escravas?","A'epe kunumĩgûasu kunhã oîmomosemba'e, miaûsuba potá nhẽ?"
"Hei de ir adiante de vós, como vosso espião, primeiro","T'akûáne pe renondé, pe manhanamo, ranhẽ"
"Coisa muito boa é a confissão, que Deus fez como modo de aplacá-lo neste mundo",Mba'e-eté anhẽ nhemombe'u Tupã remimonhangûera ikó 'ara pupé o monhyrõsabamo
Ouve,Esendu
ajudante de São Lourenço,São Lourenço pytybõana
mas antes,-te nakó
Vamos comigo,T'îasó xe irũnamo
Tu não tens o coração arrebentado de aflição,Tekotebẽ suí nde nhy'ã-boke'ymi
Eu tenho pés calejados,Xe py-piru'a
herança de meu pai,xe ruba mba'epûera
Que puseram sobre sua cabeça?,Mba'epe onong i akanga 'arybo?
"Eles são, realmente, muito fortes",Satãngatu-te nipó
"Somente estas, na verdade, retirei dos malditos","Kó nhõ anosẽ, îepé, moxy suí"
"Antigamente eu ficava sempre junto de ti, no alto do morro","Akûeîme apytá memẽ nde pyri, ybytyrapûápe"
Para um príncipe que tinha nome Anás,Morubixaba Anás seryba'e supé
"Portanto, prantear as pessoas (que chegam, como saudação) isso as enternece",Irõ moroapirõ a'e oporomomby'ar
Retirei as amarras dele,Aîmamã-rok
"Eis que era famosa, certamente, a bela vida de Maria","Anhẽté, kó serapûan Maria rekó-poranga"
Mas seria difícil para as pessoas comer minha carne,A'e iîabaíbymo abá supé xe ro'o 'u
Hei de mexer hoje as igaçabas,T'aîpobu kori ygasaba
Vós sois avaros com ele,Pe rekate'ym sesé
Uma coisa amarga com vinagre misturaram,Mba'e-py'aûpîara kaûĩaîasy resé i monani
"Como modo de honrar sua vinda, este dia honramos",Turagûera moetesabamo kó 'ara îamoeté
Oxalá não fosse eu,Na xe ruã-eté ikó mã
É ele o que dá o bem desses,A'e aé koba'e katu me'engara re'a
"ilha de mato em meio a um descampado, CAPÃO",ka'a-pa'ũ
Que me livre Deus do pecado,Ta xe pe'a Tupã tekoangaîpaba suí
Aqui estamos alegrando-nos para festejar teu dia,Kó oroîkó oronhemborypa nde 'ara momorangápe
